S. No.,Gujarati - Hindi Name,English Name,MP3 URL,PDF URL
198,ચીંતામણી 'આ' રત્ન પ્રકાશમાન,Chintamani Aa Ratna Prakashman,https://archive.org/download/KavirajPad/Chintamani%20Aa%20Ratna%20Prakashman.mp3,https://archive.org/download/KavirajPadLyrics/page_0577.pdf
199,चिट्ठी न कोई सन्देश,Chiththi Na Koi Sandeshh,https://archive.org/download/KavirajPad/Chiththi%20N%20Koi%20Shandesh.mp3,https://archive.org/download/KavirajPadLyrics/chiththi%20na%20koi%20sandesha.pdf
200,"ચોપડા વીના, કોઈથી કોઈનું નામ ના દેવાય",Chopada Vina Koithi Koinu Nam Na Devay,https://archive.org/download/KavirajPad/82_5_Chopada%20vina%20koithi%20koinu%20naam.mp3,https://archive.org/download/KavirajPadLyrics/82_5_Chopada%20vina%20koithi%20koinu%20naam.pdf
201,"ચોપાટ ચાર ખૂણાં, મન, બુદ્ધિ, ચિત્ત, અહંકાર","Chopat Char Khuna - Man, Buddhi, Chitt, Ahankar",https://archive.org/download/KavirajPad/82_4_ChopaT%20Chaar%20KuNaa.mp3,https://archive.org/download/KavirajPadLyrics/82_4_ChopaT%20Chaar%20KuNaa.pdf
202,ચોવીશ તીર્થંકરનાં ભેગાં સ્વરૂપ હે દાદા,Chovis Tirthankarna Bhega Swaroop Hai Dada,https://archive.org/download/KavirajPad/Chovis%20Tirthankarna%20Bhega%20Swarup.mp3,https://archive.org/download/KavirajPadLyrics/Chovis%20tirthankarna%20bhega-32-06.pdf
203,દબેલ મનનો ભડકતો અગ્નિ,Dabel Manno Bhadakato Agni,https://archive.org/download/KavirajPad/Dabel%20ManNo%20Bhadakto%20Agani.mp3,https://archive.org/download/KavirajPadLyrics/Dabel%20Manno%20Bhadakato%20Agni.pdf
204,દાદા અમારા પરમેશ્વર ને,Dada Amara Parmeshwar Ne,https://archive.org/download/KavirajPad/Dada%20Amara%20Parameshwar%20Ne.mp3,https://archive.org/download/KavirajPadLyrics/Dada%20amara%20parmeshvarne-23-05.pdf
205,દાદા'! 'અમેરિકા'માં જઈને,Dada Americama Jaine,https://archive.org/download/KavirajPad/86_6_Dada%20Amerikama%20Jaine.mp3,https://archive.org/download/KavirajPadLyrics/86_6_Dada%20Amerikama%20Jaine.pdf
206,"દાદા આપે છે કેવળજ્ઞાનજ, પણ પુરેપુરું પચતું","Dada Ape Chhe Kevalgnanaj, Pan Purepuru Pachtu",https://archive.org/download/KavirajPad/Dada%20Aape%20Chhe%20kevalgnanj.mp3,"https://archive.org/download/KavirajPadLyrics/Dada%20Ape%20Chhe%20Kevalgnanaj,.pdf"
207,"દાદા ભગવાન (૨), હે અક્રમ માર્ગનાં વિજ્ઞાન","Dada Bhagwan (2), He Akram Margna Vignan",https://archive.org/download/KavirajPad/Dada%20Bhagavan%20He%20Akram.mp3,https://archive.org/download/KavirajPadLyrics/Dada%20Bhagwan%20he%20akaram%20margna-36-02.pdf
208,દાદા ભગવાન (૩) બોલો .... સચ્ચિદાનંદ,Dada Bhagwan (3) Bolo …. Sachidanand,https://archive.org/download/KavirajPad/Dada%20Bhagavan%20(3)%20Bolo.mp3,https://archive.org/download/KavirajPadLyrics/Dada%20bhagwan%20Dada%20bhagwan-25-11.pdf
209,દાદા ભગવાન આપ અમારા અંતિમ તારણહાર,Dada Bhagwan Aap Amara Antim Taranahar,https://archive.org/download/KavirajPad/6%20Dada%20Bhagvan%20Aap%20Amara.mp3,https://archive.org/download/KavirajPadLyrics/Dada%20Bhagwan%20aap%20amara-01-06.pdf
210,"દાદા ભગવાન છે (૨), વીતરાગી વેલનું","Dada Bhagwan Che (2), Vitaragi Velnu",https://archive.org/download/KavirajPad/Dada%20Bhagavan%20Chhe%20(2)%20Vitaragi.mp3,https://archive.org/download/KavirajPadLyrics/page_0667.pdf
211,દાદા ભગવાન જગતને સદબુદ્ધિ આપજો,Dada Bhagwan Jagatne Satbudhi Aapjo,https://archive.org/download/KavirajPad/Dada%20Bhagavan%20Jagatne.mp3,https://archive.org/download/KavirajPadLyrics/page_0235.pdf
212,દાદા ભગવાન કેરી અનુપમ દેશના,Dada Bhagwan Keri Anupam Deshna,https://archive.org/download/KavirajPad/Dada%20Bhagavan%20Keri%20Anupam%20Deshana.mp3,https://archive.org/download/KavirajPadLyrics/Dada%20Bhagwan%20keri-33-08.pdf
213,દાદા ભગવાન મૂર્તામૂર્ત પ્રણામ,Dada Bhagwan Murtamurt Pranam,https://archive.org/download/KavirajPad/Dada%20Bhagavan%20Murtamurt.mp3,https://archive.org/download/KavirajPadLyrics/page_0559.pdf
214,દાદા ભગવાનના વિરહોમાં ઝૂરતાં પ્રત્યેક શ્વાસે,Dada Bhagwan na Virahoma Zurata Pratyek Swashe,https://archive.org/download/KavirajPad/Dada%20Bhagavanna%20Virahoma.mp3,https://archive.org/download/KavirajPadLyrics/Dada%20Bhagwanna%20virhoma-56-08.pdf
215,દાદા ભગવાન પાસે જાદુ-અભેદ એવાં,Dada Bhagwan Paase Jhadu Abhed Eva,https://archive.org/download/KavirajPad/Dada%20Bhagavan%20Pase%20Jadu%20Abhed%20Aeva.mp3,https://archive.org/download/KavirajPadLyrics/page_0603.pdf
216,"દાદા ભગવાન વ્હાલા એવા, ભરતને","Dada Bhagwan Vahela Eva, Bharatane",https://archive.org/download/KavirajPad/Dada%20Bhagavan%20Vhala%20Aeva.mp3,https://archive.org/download/KavirajPadLyrics/page_0525.pdf
217,દાદા ભગવાન વીના કંઈજ ગમે નહીં,Dada Bhagwan Vina Kai J Game Nahi,https://archive.org/download/KavirajPad/Dada%20Bhagavan%20Vina%20Kai%20Ja%20Game%20Nahi.mp3,https://archive.org/download/KavirajPadLyrics/Dada%20Bhagwan%20Vina%20Kai%20J.pdf
218,દાદા ભગવાન વિના કશું જ ખપે ન હો,Dada Bhagwan Vina Kashu J Khape N Ho,https://archive.org/download/KavirajPad/Dada%20Bhagavan%20Vina%20Kashu%20Ja%20Khape%20Na.mp3,https://archive.org/download/KavirajPadLyrics/page_0573.pdf
219,દાદા ભગવાન! ઓહોહો!,Dada Bhagwan! OHoHo!,https://archive.org/download/KavirajPad/Dada%20Bhagavan%20Ohoho.mp3,https://archive.org/download/KavirajPadLyrics/dada%20bhagwan!%20ohoho.pdf
220,दादा भगवानको साक्षीमें रखते,Dada Bhagwanko Sakshi Mai Rakhate,https://archive.org/download/KavirajPad/Dada%20Bhagavan%20Ko%20Sakshime%20Rakhate.mp3,https://archive.org/download/KavirajPadLyrics/page_0485.pdf
221,દાદા ભગવાનનાં પગલાં થયાં ત્યાં,Dada Bhagwanna Pagala Thaya Tya,https://archive.org/download/KavirajPad/12%20Dada%20Bhagavanna%20Pagala.mp3,https://archive.org/download/KavirajPadLyrics/Dada%20Bhagwanna%20paglaa-01-12.pdf
222,દાદા ભગવાનને નમસ્કાર કરું છું,Dada Bhagwanne Namaskar Karu Chhu,https://archive.org/download/KavirajPad/Dada%20Bhagavanne%20Namaskar.mp3,https://archive.org/download/KavirajPadLyrics/page_0504.pdf
223,"દાદા ભગવાનની એવી નામના, એતો",Dada Bhagwanni Evi Namana Eto,https://archive.org/download/KavirajPad/Dada%20Bhagavant%20ni%20Aevi%20Namna.mp3,https://archive.org/download/KavirajPadLyrics/page_0380.pdf
224,દાદા ભગવાનનું સહેજે સમરણ,Dada Bhagwannu Saheje Samaran,https://archive.org/download/KavirajPad/Dada%20Bhagavannu%20Saheje%20Samaran.mp3,
225,દાદા ભગવંતની ચાદર ઓઢેલી પ્રગટ,Dada Bhagwantni Chadar Ohdheli Pragat,https://archive.org/download/KavirajPad/Dada%20BHagvant%20Ni%20Chadar%20Odheli.mp3,https://archive.org/download/KavirajPadLyrics/dada%20bhagwantni.pdf
226,"દાદા, દાદા બોલતાં ન થાકું, અખંડ કીર્તન","Dada Dada Bolta N Thaku, Akhand Kirtan",https://archive.org/download/KavirajPad/Dada%20Dada%20Bolta%20Na%20Thaku.mp3,https://archive.org/download/KavirajPadLyrics/Dada%20dada%20bolta%20n%20thaku%20-52-07..pdf
227,દાદા દૂર છતાં પાસે લાગે છે,Dada Dur Chhata Pase Lage Chhe,https://archive.org/download/KavirajPad/Dada%20Dur%20Chhata%20Pase%20Lage%20Chhe.mp3,https://archive.org/download/KavirajPadLyrics/Dada%20dur%20chata%20pase%20lage%20che-33-09.pdf
228,દાદા જ દર્શન ઉઘાડશે રે,Dada J Darshan Ughadshe Re,https://archive.org/download/KavirajPad/Dada%20Ja%20Darshan%20Ughadshe%20Re.mp3,https://archive.org/download/KavirajPadLyrics/dada%20j%20darshan.pdf
229,"દાદા, માર્ગ ભૂલ્યાં બાળકોનાં દુઃખ",Dada Marge Bhulya Balkona Dukh,https://archive.org/download/KavirajPad/Dada%20Marg%20Bhulya%20Balakona.mp3,https://archive.org/download/KavirajPadLyrics/CD59-04%20Dada%20Marg%20Bhulya%20Balakona%20Dukh.pdf
230,"દાદા ના દરબારે, ગુરુપૂનમ","Dada na Darbare, Gurupunam",https://archive.org/download/KavirajPad/01%20Dada%20Na%20Darbare.mp3,https://archive.org/download/KavirajPadLyrics/CD64-01%20Dadana%20Darbare%20Gurupunam.pdf
231,દાદા નમસ્કાર-વંદન - ડૉ. જયેશ શાહ,Dada Namaskar Vandan - Dr. Jayesh Shah,https://archive.org/download/KavirajPad/Dada%20Namaskar%20-%20Dr.%20Jayesh.mp3,https://archive.org/download/KavirajPadLyrics/dada%20namashkar.pdf
232,દાદા સત્સંગ - દાદા મળ્યા પછી,Dada Satang - Dada Malya Pachi,https://archive.org/download/KavirajPad/Dada%20Satsang%20-%20After%20Dada%20Gnan.mp3,
233,દાદા સત્સંગ - ૪૦૫૬-A,Dada Satsang - 4056-A,https://archive.org/download/KavirajPad/Dada%20Satsang%20-%204056%20A.mp3,https://archive.org/download/KavirajPadLyrics/dada%20satsang.pdf
234,દાદા શરણં ગચ્છામિ,Dada Sharanam Gachchhami,https://archive.org/download/KavirajPad/Dada%20Sharanam%20Gachchhami.mp3,https://archive.org/download/KavirajPadLyrics/page_0743%20(1).pdf
235,"દાદા શરણું આપોને, આ દુનિયાથી છૂટવા માટે","Dada Sharnu Aapone, Aa Duniyathi Chuttva Mate",https://archive.org/download/KavirajPad/Dada%20Sharanu%20Aapone.mp3,https://archive.org/download/KavirajPadLyrics/Dada%20sharnu%20aapone-26-05.pdf
236,"दादा सुदर्शन से, निज चेतन","Dada Sudarshan Se, Nij Chetan",https://archive.org/download/KavirajPad/Dada%20Sudarshan%20Se%20Nijchetan.mp3,https://archive.org/download/KavirajPadLyrics/Dada%20sudarshan-58-09.pdf
237,दादा! तुम्हारे पावन पथ पर,Dada Tumhare Pavan Path Par,https://archive.org/download/KavirajPad/Dada%20Tumhare%20Pavan%20Patha%20Par.mp3,https://archive.org/download/KavirajPadLyrics/Dada%20tumhare%20paavan%20path%20par-73-09.pdf
238,"દાદા વર્તે સ્વ-સમય, જીનેશ્વરા મોહ","Dada Varte Sva-Samay, Jineshwara Moh",https://archive.org/download/KavirajPad/Dada%20Varte%20Sva-Samay%20Jeeneshvara.mp3,https://archive.org/download/KavirajPadLyrics/CD66-03%20Dada%20Varte%20Swasamay.pdf
239,"દાદા વીનાની, વાતું નકામી","Dada Vinani, Vatu Nakkami",https://archive.org/download/KavirajPad/Dada%20Vinani%20Vatu%20Nakami.mp3,"https://archive.org/download/KavirajPadLyrics/Dada%20Vinani,%20Vatu%20Nakkami.pdf"
240,"દાદા, દાદા બોલું ને નીજાત્મા જ મહેંકે","Dada, Dada Bolu Ne Nijatma J Maheke",https://archive.org/download/KavirajPad/Dada%20Dada%20Bolu%20Ne%20Nijatma%20Ja.mp3,https://archive.org/download/KavirajPadLyrics/page_0571.pdf
241,દાદા! તમારી વાણી ત્રિકાળી,Dada! Tamari Vani Trikali,https://archive.org/download/KavirajPad/Dada%20Tamari%20Vani.mp3,https://archive.org/download/KavirajPadLyrics/dada!%20tamari.pdf
242,"દાદાઈ યુગનિર્માણ, સહે ન ભ્રષ્ટાચાર","Dadai Yugnirman, Sahe Na Brashtachar",https://archive.org/download/KavirajPad/Dadai%20Yugnirman%20Sahe%20Na.mp3,https://archive.org/download/KavirajPadLyrics/page_0722.pdf
243,દાદાજી રે! અનાદિનાં અપ્પારવી આપ રે,Dadaji Re Anadina Apparvi Aap Re,https://archive.org/download/KavirajPad/Dadaji%20Re%20Anadina%20Appa.mp3,https://archive.org/download/KavirajPadLyrics/page_0418.pdf
244,દાદાજી રે દાદાજી સૌને લાગે વ્હાલાજી,Dadaji Re Dadaji Saune Lage Vahalaji,https://archive.org/download/KavirajPad/Dadaji%20Re%20Dadaji%20Saune%20Lage.mp3,https://archive.org/download/KavirajPadLyrics/page_0536.pdf
245,દાદાજી સહુનાં,Dadaji Sahuna,https://archive.org/download/KavirajPad/Dadaji%20Sahuna.mp3,https://archive.org/download/KavirajPadLyrics/Dadaji%20sahuna-13-08.pdf
246,દાદાજી ના નામનો રે સંગસત લાગ્યો,Dadajina Namano Re Sangsat Lagyo,https://archive.org/download/KavirajPad/Dadajina%20Namno%20Re.mp3,https://archive.org/download/KavirajPadLyrics/Dadajina%20namano%20re-60-06.pdf
247,દાદાજીનો શુદ્ધ સંદેશ ફેલાવે,Dadajino Shuddh Sandesh Fhelave,https://archive.org/download/KavirajPad/Dadaji%20No%20Shudhdh%20Sandesh.mp3,https://archive.org/download/KavirajPadLyrics/dadaji%20no%20shudhh%20sandesh.pdf
248,"દાદાના દરબારે, હસ્તે મોક્ષ મણાશે","Dadana Darbare, Haste Moksh Manashe",https://archive.org/download/KavirajPad/Dadana%20Darabare%20Haste.mp3,https://archive.org/download/KavirajPadLyrics/Dadana%20darbare-34-05.pdf
249,"દાદાનાં દર્શન પામશે, તેનો સફળ થશે","Dadana Darshan Pamshe, Teno Safal Thashe",https://archive.org/download/KavirajPad/Dadana%20Darshan%20Pamashe%20Tene.mp3,https://archive.org/download/KavirajPadLyrics/page_0661.pdf
250,દાદાનાં જ્ઞાન થકી દેખાઈએ,Dadana Gnan Thaki Dekhaiye,https://archive.org/download/KavirajPad/Dadana%20Gnan%20Thaki%20Lagechhe.mp3,https://archive.org/download/KavirajPadLyrics/Dadana%20gnan%20thaki-22-03.pdf
251,"દાદાનાં ગુણલાં ગાશે, તેને મહા નિર્જરા થાશે","Dadana Gunala Gashe, Tene Maha Nirjra Thashe",https://archive.org/download/KavirajPad/Dadana%20Gunala%20Gashe%20Tene.mp3,https://archive.org/download/KavirajPadLyrics/Dadana%20gunla%20gashe-19-03.pdf
252,દાદાને મળવાથી પાપો ભસ્મ જ થાય,Dadane Malavathi Papo Bhasma J Thay,https://archive.org/download/KavirajPad/Dadane%20Malavathi%20Papo.mp3,https://archive.org/download/KavirajPadLyrics/page_0501.pdf
253,દાદાની જોડ જગે નહીં,Dadani Jodd Jage Nahi,https://archive.org/download/KavirajPad/Dadani%20Jod%20Jage%20Nahi.mp3,https://archive.org/download/KavirajPadLyrics/page_0543.pdf
254,દાદાની પુણ્યૈ જોવા ઊમટશે માનવ મેળા,Dadani Punyai Jova Umatshe Manav Mela,https://archive.org/download/KavirajPad/Dadani%20Punyai%20Jova%20Umatashe%20Manav.mp3,https://archive.org/download/KavirajPadLyrics/Dadani%20punyai%20jova-33-11.pdf
255,"દાદાની વાતું સુણી, જે જીવ હરખાશે, ગુણ-સુણ્યાં","Dadani Vatu Suni, Je Jiv Harkhashe, Gun-Sunya",https://archive.org/download/KavirajPad/04%20DADANI%20VATO%20SUNI%20JE%20JIV%20HARKHASE.mp3,https://archive.org/download/KavirajPadLyrics/CD63-04%20Dadani%20Vatu%20Suni.pdf
256,દાદાનું ગીત મારે ગાવું છે,Dadanu Geet Mahre Gavu Chhe,https://archive.org/download/KavirajPad/Dadanu%20Git%20Mare%20Gavu%20Chhe.mp3,https://archive.org/download/KavirajPadLyrics/page_0508.pdf
257,દાદાશ્રી ભગવાન કહે,Dadashri Bhagwan Kahe,https://archive.org/download/KavirajPad/2%20Dadashree%20Bhagvan%20Kahe.mp3,https://archive.org/download/KavirajPadLyrics/page_0041.pdf
258,દાદાશ્રીનું નામ જ લઈને,Dadashrinu Naam J Laine,https://archive.org/download/KavirajPad/Dadashreenu%20Nam%20Ja%20Laine.mp3,https://archive.org/download/KavirajPadLyrics/page_0676.pdf
259,દરશન દેજો અમને આશાપુરા મા,Darshan Dejo Amne Ashapura Ma,https://archive.org/download/KavirajPad/Darshan%20Dejo%20Amane%20Aashapura%20Ma.mp3,https://archive.org/download/KavirajPadLyrics/Darshan%20dejo-56-05.pdf
260,દર્શન દયો એકવાર,Darshan Dyo Ekvar,https://archive.org/download/KavirajPad/86_9_Darshan%20Dyo%20Ek%20vaar.mp3,https://archive.org/download/KavirajPadLyrics/86_9_Darshan%20Dyo%20Ek%20vaar.pdf
261,દર્શનથી થાય શાંતિ અપાર,Darshan Thi Thay Shanti Apar,https://archive.org/download/KavirajPad/Darshanthi%20Thay%20Shanti.mp3,https://archive.org/download/KavirajPadLyrics/page_0758.pdf
262,દર્શનાવરણ ને મોહીની ચડી જો,Darshanaavaran Ne Mohini Chadi Jo,https://archive.org/download/KavirajPad/84_5_DarshnaavaraNe%20Mohini%20Chadi.mp3,https://archive.org/download/KavirajPadLyrics/84_5_DarshnaavaraNe%20Mohini%20Chadi.pdf
263,દર્શનમાં ચોખ્ખું દેખાય એવું,Darshanma Chokkhu Dekhay Evu,https://archive.org/download/KavirajPad/Darshan%20Ma%20Chikhkhun%20Dekhay.mp3,https://archive.org/download/KavirajPadLyrics/CD69-02%20Darshanma%20Chokhkhu%20Dekhay%20-%20m11p65.pdf
264,દસ લાખ વર્ષે પ્રગટ આવે છે તે 'વ્યવસ્થિત',Das Lakh Varshe Pragat Ave Chhe Te Vyavasthit,https://archive.org/download/KavirajPad/Dashlakh%20Varse%20Pragat.mp3,https://archive.org/download/KavirajPadLyrics/page_0517.pdf
265,દેહ ધરીને આવ્યા સાક્ષાત 'આ' પરમાત્મા,Deh Dharine Aavya Shakshat 'Aa' Parmatma,https://archive.org/download/KavirajPad/Deh%20Dharine%20Aavya.mp3,https://archive.org/download/KavirajPadLyrics/CD62-03%20Deh%20Dhari%20Aavya.pdf
266,દેહધારી અરિહંત સીમંધર સ્વામી,Dehdhari Arihant Simandhar Swami,https://archive.org/download/KavirajPad/Dehadhari%20Arihant.mp3,https://archive.org/download/KavirajPadLyrics/page_0086.pdf
267,દેશના ઊપકારીઓને શૂળી - ગોળી રે લોલ,Deshna Upkarione Shuli - Goli Re Lol,https://archive.org/download/KavirajPad/Deshana%20Upkari%20Ne%20Shuri.mp3,https://archive.org/download/KavirajPadLyrics/page_0187.pdf
268,"દેવા બીજાને ઊપદેશ, સહુથી સુંદર છે આ દેશ","Deva Bijane Updesh, Sahuthi Sundar Chhe Aadesh",https://archive.org/download/KavirajPad/Deva%20Bijane%20Updesh.mp3,https://archive.org/download/KavirajPadLyrics/page_0189.pdf
269,દેવોને આહવાહન - અંધારા કોટી વર્ષના,Devone Ahvahan - Andhara Koti Varshna,https://archive.org/download/KavirajPad/Devone%20Avhavan%20-%20Andhara%20Koti%20Yugna.mp3,https://archive.org/download/KavirajPadLyrics/page_0733.pdf
270,"ઢમ, ઢમ, ઢમ, ઢમ ઢોલકાં વાગે",Dham Dham Dham Dham Dholka Vage,https://archive.org/download/KavirajPad/Dhham%20Dhham%20(2)%20Dholaka%20Vage.mp3,https://archive.org/download/KavirajPadLyrics/Dham%20dham%20dham%20dham%20dholka%20vage-30-07.pdf
271,"ધન, મદ, જોબન ટકવાના નથી, તેની આખો",Dhan Mad Joban Takavan Nathi,https://archive.org/download/KavirajPad/89_11_Dhan%20Mad%20Jobane.mp3,https://archive.org/download/KavirajPadLyrics/89_11_Dhan%20Mad%20Jobane.pdf
272,ધંધો એવો શોધવો જેમાં હોય નહીં હરીફાઈ,Dhandho Aevo Shodhavo Jema Hoy Nahi,https://archive.org/download/KavirajPad/85_1_Dhandho%20Aevo%20Shodhavo%20Jema.mp3,https://archive.org/download/KavirajPadLyrics/85_1_Dhandho%20Aevo%20Shodhavo%20Jema.pdf
273,ધન્ય હો આજનો પરમાનંદ,Dhanya Ho Aajno Parmanand,https://archive.org/download/KavirajPad/Dhanya%20Ho%20Aajno%20Paramanand.mp3,https://archive.org/download/KavirajPadLyrics/page_0533.pdf
274,"ધર્મ, અર્થ ને કામ મોક્ષ, મનુષભવનું - સપ્તપદી",Dharma Arth Ne Kam Moksh,https://archive.org/download/KavirajPad/87_2_Dharm%20Arth%20Kaam%20mox.mp3,https://archive.org/download/KavirajPadLyrics/87_2_Dharm%20Arth%20Kaam%20mox.pdf
275,ધર્મધજા ફરકંત,Dharmadhaja Farkant,https://archive.org/download/KavirajPad/04%20Dharma%20Dhaja%20Farkant.mp3,https://archive.org/download/KavirajPadLyrics/CD64-04%20Dharma%20Dhaja.pdf
276,"ધર્મનું રક્ષણ કરવાનું, પક્ષોમાં નહીં પડવાનું","Dharmanu Rakshan Karvanu, Pakshoma Nahi Padvanu",https://archive.org/download/KavirajPad/Dharmnu%20Raxan%20Karavanu.mp3,https://archive.org/download/KavirajPadLyrics/dharmanu%20rakshan%20karva.pdf
277,"ધર્માચાર્યો, ઊપદેશકનાં પ્રવચન શબ્દ","Dharmocharya, Updeshakna Pravachan Shabd",https://archive.org/download/KavirajPad/Dharmacharyo%20Updeshakna.mp3,https://archive.org/download/KavirajPadLyrics/page_0194.pdf
278,ધર્મનો આધાર 'સ્વયં-જ્ઞાની' થશે જ્યાં,Dharmono Aadhar 'Svayam-gnani' Thashe Jya,https://archive.org/download/KavirajPad/Dharmano%20Aadhar%20Swayam%20Gnani%20Thashe.mp3,https://archive.org/download/KavirajPadLyrics/dharma%20no%20adhar%20swayam%20gyani.pdf
279,દિલમંદિર નિવાસી તુમકો,Dilmandir Nivasi Tumko,https://archive.org/download/KavirajPad/Dilmandir%20Nivasi.mp3,https://archive.org/download/KavirajPadLyrics/page_0478.pdf
280,"દીવડો, ' દાદા' એ પ્રગટાયો",Divado Dada ae Pragatayo,https://archive.org/download/KavirajPad/Divado%20Dada%20Ae%20Pragtayo.mp3,https://archive.org/download/KavirajPadLyrics/Divado%20dada%20ae%20pragatayo-29-04.pdf
281,દીવડો રે મારા આતમરામનો,Divado Re Mara Aatamramno,https://archive.org/download/KavirajPad/Divado%20Re%20Mara%20Aatam%20Ramno.mp3,https://archive.org/download/KavirajPadLyrics/Divado%20re%20mara%20aatamaramno-21-07.pdf
282,"દિવસે દિવસે શાંતિ વધે તે, રસ્તો બતાવે",Divase Divase Shanti Vadhe Te Rasto Batao,https://archive.org/download/KavirajPad/Divase%20Divase.mp3,https://archive.org/download/KavirajPadLyrics/CD60-08%20Divase%20Divase%20Shanti%20Vadhe.pdf
283,"દીવસે ન આવ્યાં, રાતે તો આવો","Divase N Aavya, Raate To Aavo",https://archive.org/download/KavirajPad/Divase%20Na%20Aavya%20Rate.mp3,https://archive.org/download/KavirajPadLyrics/page_0360.pdf
284,"દીવો જલે છે બાહીરનો, દીવો ઝઘાવો","Divo Jale Chhe Bahirno, Divo jhaghavo",https://archive.org/download/KavirajPad/05%20Divo%20Jale%20Chhe.mp3,https://archive.org/download/KavirajPadLyrics/CD65-05%20Divo%20Jale%20Chhe%20Bahirno.pdf
285,દિવ્ય ચક્ષુ ઉપયોગે બેઉ પાંખીયાથી,Divya Chakshu Upyoge Beo Pakhiyathi,https://archive.org/download/KavirajPad/Dvyachakshu%20Upayoge%20Be%20Pankhiyathi.mp3,https://archive.org/download/KavirajPadLyrics/divya%20chakshu.pdf
286,દિવ્યાતિ દિવ્યમ સીલ્વર જ્યુબીલી,Divyati Divyam Silver Jubilee,https://archive.org/download/KavirajPad/Divyati%20Divyam%20Silver%20Jubili.mp3,https://archive.org/download/KavirajPadLyrics/divyati%20divyam.pdf
287,દુકાની જગત વહેવારી સગા સૌ,Dukani Jagat Vahevari Saga Sau,https://archive.org/download/KavirajPad/Dukani%20Jagat%20Vyavahari.mp3,https://archive.org/download/KavirajPadLyrics/dukani%20jagat%20vahevari.pdf
288,દુખડાં ઉપકારી થાય,Dukhada Upkari Thay,https://archive.org/download/KavirajPad/Dukhada%20Upkari%20Thay.mp3,https://archive.org/download/KavirajPadLyrics/Dukhada%20upkari%20thay12-03.pdf
289,"દુનીયા છે દો-રંગી ત્રિયોગે, ડાહ્યાં","Duniya Chhe Do-Rangi Triyoge, Dahya",https://archive.org/download/KavirajPad/Duniya%20Chhe%20Do%20Rangi.mp3,https://archive.org/download/KavirajPadLyrics/duniya%20chec%20do%20rangi.pdf
290,"દુનિયા હૈં અધ્ધર, ભ્રમકર","Duniya Hai Adhdhar, Bhramakar",https://archive.org/download/KavirajPad/09%20Duniya%20He%20Adhdhar.mp3,https://archive.org/download/KavirajPadLyrics/CD64-09%20Duniya%20Hai%20Addhar.pdf
291,દુનિયા સાથે કેવળજ્ઞાની રહેતાં પ્રેમ સ્વરૂપે,Duniya Sathe Kevalgnani Raheta Prem Swarupe,https://archive.org/download/KavirajPad/Duniya%20Sathe%20KevalGnani.mp3,https://archive.org/download/KavirajPadLyrics/Duniya%20sathe%20kevalgnani-23-03.pdf
292,"દુર્લભ 'મોક્ષદાની', નીર્મૂઝ માર્ગ-સુલભ","Durlabh 'Mokshdani', Nirmruz Marg-Sulabh",https://archive.org/download/KavirajPad/Durlabh%20Mokshdani%20Nirmuz%20Marg.mp3,https://archive.org/download/KavirajPadLyrics/durlabh%20mokshdani.pdf
293,"એક બ્રહ્મચર્યમાં જ, પાંચે વ્રતો આવી જાય","Ek Brahmcharyama J, Panche Vrato Aavi Jay",https://archive.org/download/KavirajPad/3%20Aek%20Brahmacharya%20Manj.mp3,https://archive.org/download/KavirajPadLyrics/Ek%20%20brahmcharyama-04-03.pdf
294,એક જ ઇચ્છા - હવે એક જ છે ઇચ્છા,Ek j ichchha -Have Eka j Chhe ichchha,https://archive.org/download/KavirajPad/2%20Have%20Ekaj%20Chhe%20Ichchha.mp3,https://archive.org/download/KavirajPadLyrics/page_0018.pdf
295,એક નાનું સરખું ગામ છે તરસાળી,Ek Nanu Sarkhu Gaam Chhe Tarasali,https://archive.org/download/KavirajPad/Aek%20Nanu%20Sarakhu%20Gam.mp3,https://archive.org/download/KavirajPadLyrics/page_0395.pdf
296,એક પરગટ સ્વયંભૂ થડ ઊગિયું,Ek Pargat Swayambhu Thad Ugiyu,https://archive.org/download/KavirajPad/Aek%20Pargat%20Swayambhu%20Thad.mp3,https://archive.org/download/KavirajPadLyrics/page_0201.pdf
297,"એકજ ધર્મ છે અવનીમાં, 'દાદા' હો મન-મંદિરમાં",Eka j Dharma Chhe Avanima 'Dada' Ho Maan-Mandirma,https://archive.org/download/KavirajPad/Aekaj%20Dharma%20Chhe%20Avanima.mp3,https://archive.org/download/KavirajPadLyrics/Ek%20j%20dharma%20che%20avanimaa-33-07.pdf
298,ફરજીયાત કર્મના ફળ ભોગવવાં,Farajiyat Karmana Fal Bhogavava,https://archive.org/download/KavirajPad/Pharjiyat%20Karmona.mp3,https://archive.org/download/KavirajPadLyrics/page_0261.pdf
299,"ફરફર, ફરફર ધ્વજ ફરકે છે",Farfar Farfar Dwaj Farke Chhe,https://archive.org/download/KavirajPad/Far%20(4)%20Dhwaj%20Farake%20Chhe.mp3,https://archive.org/download/KavirajPadLyrics/page_0723.pdf
300,"गा, गा के 'दादा'-गीत",Ga Ga Ke Dada Geet,https://archive.org/download/KavirajPad/Ga%20Ga%20Ke%20Dada%20Geet.mp3,https://archive.org/download/KavirajPadLyrics/Ga%20Ga%20ke%20dada%20geet-22-04.pdf
